,coefs,start,method,target func calls,gradient func calls,minimum,path,iterations
0,"{'x^2': 0.1, 'y^2': 0.2}",[1 1],gradient_descend_constant_rate,0,"(918, 918)",[9.84257291e-05 8.82139940e-09],"[[1.00000000e+00 1.00000000e+00]
 [9.90000000e-01 9.80000000e-01]
 [9.80100000e-01 9.60400000e-01]
 ...
 [1.00424170e-04 9.18513057e-09]
 [9.94199284e-05 9.00142796e-09]
 [9.84257291e-05 8.82139940e-09]]",918
1,"{'x^2': 0.1, 'y^2': 0.2}",[1 1],gradient_descend_dichotomy,1914,"(638, 638)",[6.49105154e-05 3.63384553e-09],"[[1.00000000e+00 1.00000000e+00]
 [9.85000000e-01 9.70000000e-01]
 [9.70225000e-01 9.40900000e-01]
 ...
 [6.69025385e-05 3.86209536e-09]
 [6.58990004e-05 3.74623250e-09]
 [6.49105154e-05 3.63384553e-09]]",638
2,"{'x^2': 0.1, 'y^2': 0.2}",[1 1],gradient_descend_golden_ratio,2384,"(596, 596)",[5.9928888e-05 3.0566843e-09],"[[1.00000000e+00 1.00000000e+00]
 [9.83819660e-01 9.67639320e-01]
 [9.67901124e-01 9.36325854e-01]
 ...
 [6.19163328e-05 3.26455185e-09]
 [6.09145054e-05 3.15890873e-09]
 [5.99288880e-05 3.05668430e-09]]",596
3,"{'x^2': 0.1, 'y^2': 0.2}",[1 1],scipy_nelder_mead_,112,"(0, 0)",[-2.46257003e-07 -2.62439417e-07],,57
4,"{'x^2': 0.1, 'y^2': 0.2}",[10 10],gradient_descend_constant_rate,0,"(1000, 1000)",[4.31712474e-04 1.68296736e-08],"[[1.00000000e+01 1.00000000e+01]
 [9.90000000e+00 9.80000000e+00]
 [9.80100000e+00 9.60400000e+00]
 ...
 [4.40477986e-04 1.75236085e-08]
 [4.36073206e-04 1.71731363e-08]
 [4.31712474e-04 1.68296736e-08]]",1000
5,"{'x^2': 0.1, 'y^2': 0.2}",[10 10],gradient_descend_dichotomy,2370,"(790, 790)",[6.52562470e-05 3.54543943e-10],"[[1.00000000e+01 1.00000000e+01]
 [9.85000000e+00 9.70000000e+00]
 [9.70225000e+00 9.40900000e+00]
 ...
 [6.72588802e-05 3.76813628e-10]
 [6.62499970e-05 3.65509220e-10]
 [6.52562470e-05 3.54543943e-10]]",790
6,"{'x^2': 0.1, 'y^2': 0.2}",[10 10],gradient_descend_golden_ratio,2948,"(737, 737)",[6.00788068e-05 2.95702619e-10],"[[1.00000000e+01 1.00000000e+01]
 [9.83819660e+00 9.67639320e+00]
 [9.67901124e+00 9.36325854e+00]
 ...
 [6.20712233e-05 3.15811657e-10]
 [6.10668898e-05 3.05591777e-10]
 [6.00788068e-05 2.95702619e-10]]",737
7,"{'x^2': 0.1, 'y^2': 0.2}",[10 10],scipy_nelder_mead_,127,"(0, 0)",[4.01673247e-07 1.69256146e-07],,65
8,"{'x^2': 0.1, 'y^2': 0.2}",[200   0],gradient_descend_constant_rate,0,"(1000, 1000)",[0.00863425 0.        ],"[[2.00000000e+02 0.00000000e+00]
 [1.98000000e+02 0.00000000e+00]
 [1.96020000e+02 0.00000000e+00]
 ...
 [8.80955972e-03 0.00000000e+00]
 [8.72146412e-03 0.00000000e+00]
 [8.63424948e-03 0.00000000e+00]]",1000
9,"{'x^2': 0.1, 'y^2': 0.2}",[200   0],gradient_descend_dichotomy,2964,"(988, 988)",[6.54674955e-05 0.00000000e+00],"[[2.00000000e+02 0.00000000e+00]
 [1.97000000e+02 0.00000000e+00]
 [1.94045000e+02 0.00000000e+00]
 ...
 [6.74766117e-05 0.00000000e+00]
 [6.64644625e-05 0.00000000e+00]
 [6.54674955e-05 0.00000000e+00]]",988
10,"{'x^2': 0.1, 'y^2': 0.2}",[200   0],gradient_descend_golden_ratio,3680,"(920, 920)",[6.07137765e-05 0.00000000e+00],"[[2.00000000e+02 0.00000000e+00]
 [1.96763932e+02 0.00000000e+00]
 [1.93580225e+02 0.00000000e+00]
 ...
 [6.27272507e-05 0.00000000e+00]
 [6.17123025e-05 0.00000000e+00]
 [6.07137765e-05 0.00000000e+00]]",920
11,"{'x^2': 0.1, 'y^2': 0.2}",[200   0],scipy_nelder_mead_,140,"(0, 0)",[-9.06594936e-08  2.85146608e-07],,77
12,"{'y^2': 1, 'x^2': 0.0031}",[1 1],gradient_descend_constant_rate,0,"(1000, 1000)",[7.33411708e-01 1.74787125e-46],"[[1.00000000e+00 1.00000000e+00]
 [9.99690000e-01 9.00000000e-01]
 [9.99380096e-01 8.10000000e-01]
 ...
 [7.33866634e-01 2.15786574e-46]
 [7.33639136e-01 1.94207917e-46]
 [7.33411708e-01 1.74787125e-46]]",1000
13,"{'y^2': 1, 'x^2': 0.0031}",[1 1],gradient_descend_dichotomy,3000,"(1000, 1000)",[6.28067179e-01 2.62376971e-71],"[[1.00000000e+00 1.00000000e+00]
 [9.99535000e-01 8.50000000e-01]
 [9.99070216e-01 7.22500000e-01]
 ...
 [6.28651689e-01 3.63151517e-71]
 [6.28359366e-01 3.08678790e-71]
 [6.28067179e-01 2.62376971e-71]]",1000
14,"{'y^2': 1, 'x^2': 0.0031}",[1 1],gradient_descend_golden_ratio,4000,"(1000, 1000)",[6.05490518e-01 2.21766245e-77],"[[1.00000000e+00 1.00000000e+00]
 [9.99498409e-01 8.38196601e-01]
 [9.98997071e-01 7.02573542e-01]
 ...
 [6.06098392e-01 3.15648444e-77]
 [6.05794379e-01 2.64575453e-77]
 [6.05490518e-01 2.21766245e-77]]",1000
15,"{'y^2': 1, 'x^2': 0.0031}",[1 1],scipy_nelder_mead_,129,"(0, 0)",[-9.59717854e-08 -3.04214716e-08],,69
16,"{'y^2': 1, 'x^2': 0.0031}",[10 10],gradient_descend_constant_rate,0,"(1000, 1000)",[7.33411708e+00 1.74787125e-45],"[[1.00000000e+01 1.00000000e+01]
 [9.99690000e+00 9.00000000e+00]
 [9.99380096e+00 8.10000000e+00]
 ...
 [7.33866634e+00 2.15786574e-45]
 [7.33639136e+00 1.94207917e-45]
 [7.33411708e+00 1.74787125e-45]]",1000
17,"{'y^2': 1, 'x^2': 0.0031}",[10 10],gradient_descend_dichotomy,3000,"(1000, 1000)",[6.28067179e+00 2.62376971e-70],"[[1.00000000e+01 1.00000000e+01]
 [9.99535000e+00 8.50000000e+00]
 [9.99070216e+00 7.22500000e+00]
 ...
 [6.28651689e+00 3.63151517e-70]
 [6.28359366e+00 3.08678790e-70]
 [6.28067179e+00 2.62376971e-70]]",1000
18,"{'y^2': 1, 'x^2': 0.0031}",[10 10],gradient_descend_golden_ratio,4000,"(1000, 1000)",[6.05490518e+00 2.21766245e-76],"[[1.00000000e+01 1.00000000e+01]
 [9.99498409e+00 8.38196601e+00]
 [9.98997071e+00 7.02573542e+00]
 ...
 [6.06098392e+00 3.15648444e-76]
 [6.05794379e+00 2.64575453e-76]
 [6.05490518e+00 2.21766245e-76]]",1000
19,"{'y^2': 1, 'x^2': 0.0031}",[10 10],scipy_nelder_mead_,143,"(0, 0)",[-1.84657432e-07  3.84239433e-08],,76
20,"{'y^2': 1, 'x^2': 0.0031}",[200   0],gradient_descend_constant_rate,0,"(1000, 1000)",[146.68234153   0.        ],"[[200.           0.        ]
 [199.938        0.        ]
 [199.87601922   0.        ]
 ...
 [146.77332689   0.        ]
 [146.72782716   0.        ]
 [146.68234153   0.        ]]",1000
21,"{'y^2': 1, 'x^2': 0.0031}",[200   0],gradient_descend_dichotomy,3000,"(1000, 1000)",[125.61343571   0.        ],"[[200.           0.        ]
 [199.907        0.        ]
 [199.81404325   0.        ]
 ...
 [125.73033774   0.        ]
 [125.67187313   0.        ]
 [125.61343571   0.        ]]",1000
22,"{'y^2': 1, 'x^2': 0.0031}",[200   0],gradient_descend_golden_ratio,4000,"(1000, 1000)",[121.09810369   0.        ],"[[200.           0.        ]
 [199.89968189   0.        ]
 [199.7994141    0.        ]
 ...
 [121.21967848   0.        ]
 [121.15887584   0.        ]
 [121.09810369   0.        ]]",1000
23,"{'y^2': 1, 'x^2': 0.0031}",[200   0],scipy_nelder_mead_,136,"(0, 0)",[-1.77859060e-07 -1.87398996e-08],,72
24,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[1 1],gradient_descend_constant_rate,0,"(1000, 1000)",[146.57562561 146.57562561],"[[  1.           1.        ]
 [  1.005        1.005     ]
 [  1.010025     1.010025  ]
 ...
 [145.12078969 145.12078969]
 [145.84639364 145.84639364]
 [146.57562561 146.57562561]]",1000
25,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[1 1],gradient_descend_dichotomy,3000,"(1000, 1000)",[1758.1454989 1758.1454989],"[[1.00000000e+00 1.00000000e+00]
 [1.00750000e+00 1.00750000e+00]
 [1.01505625e+00 1.01505625e+00]
 ...
 [1.73206706e+03 1.73206706e+03]
 [1.74505757e+03 1.74505757e+03]
 [1.75814550e+03 1.75814550e+03]]",1000
26,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[1 1],gradient_descend_golden_ratio,4000,"(1000, 1000)",[3157.76556775 3157.76556775],"[[1.00000000e+00 1.00000000e+00]
 [1.00809017e+00 1.00809017e+00]
 [1.01624579e+00 1.01624579e+00]
 ...
 [3.10728526e+03 3.10728526e+03]
 [3.13242373e+03 3.13242373e+03]
 [3.15776557e+03 3.15776557e+03]]",1000
27,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[1 1],scipy_nelder_mead_,1579,"(0, 0)",[1.12895732e+154 1.34078079e+154],,788
28,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[10 10],gradient_descend_constant_rate,0,"(1000, 1000)",[1465.75625611 1465.75625611],"[[  10.           10.        ]
 [  10.05         10.05      ]
 [  10.10025      10.10025   ]
 ...
 [1451.20789694 1451.20789694]
 [1458.46393643 1458.46393643]
 [1465.75625611 1465.75625611]]",1000
29,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[10 10],gradient_descend_dichotomy,3000,"(1000, 1000)",[17581.45498902 17581.45498902],"[[1.00000000e+01 1.00000000e+01]
 [1.00750000e+01 1.00750000e+01]
 [1.01505625e+01 1.01505625e+01]
 ...
 [1.73206706e+04 1.73206706e+04]
 [1.74505757e+04 1.74505757e+04]
 [1.75814550e+04 1.75814550e+04]]",1000
30,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[10 10],gradient_descend_golden_ratio,4000,"(1000, 1000)",[31577.65567746 31577.65567746],"[[1.00000000e+01 1.00000000e+01]
 [1.00809017e+01 1.00809017e+01]
 [1.01624579e+01 1.01624579e+01]
 ...
 [3.10728526e+04 3.10728526e+04]
 [3.13242373e+04 3.13242373e+04]
 [3.15776557e+04 3.15776557e+04]]",1000
31,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[10 10],scipy_nelder_mead_,1585,"(0, 0)",[1.12895732e+154 1.34078079e+154],,793
32,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[200   0],gradient_descend_constant_rate,0,"(1000, 1000)",[14657.56256111 14657.56256111],"[[2.00000000e+02 0.00000000e+00]
 [1.98000000e+02 3.00000000e+00]
 [1.96065000e+02 5.94000000e+00]
 ...
 [1.45120790e+04 1.45120790e+04]
 [1.45846394e+04 1.45846394e+04]
 [1.46575626e+04 1.46575626e+04]]",1000
33,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[200   0],gradient_descend_dichotomy,3000,"(1000, 1000)",[175814.54989021 175814.54989021],"[[2.00000000e+02 0.00000000e+00]
 [1.97000000e+02 4.50000000e+00]
 [1.94146250e+02 8.86500000e+00]
 ...
 [1.73206706e+05 1.73206706e+05]
 [1.74505757e+05 1.74505757e+05]
 [1.75814550e+05 1.75814550e+05]]",1000
34,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[200   0],gradient_descend_golden_ratio,4000,"(1000, 1000)",[315776.55677456 315776.55677456],"[[2.00000000e+02 0.00000000e+00]
 [1.96763932e+02 4.85410197e+00]
 [1.93698036e+02 9.55112189e+00]
 ...
 [3.10728526e+05 3.10728526e+05]
 [3.13242373e+05 3.13242373e+05]
 [3.15776557e+05 3.15776557e+05]]",1000
35,"{'x^2': 0.1, 'y^2': 0.1, 'xy': -0.3}",[200   0],scipy_nelder_mead_,1697,"(0, 0)",[1.34078079e+154 8.18299209e+153],,853
